"ID_Item"	"Titre"	"Description"	"Contenu"	"Categorie"	"Lien"	"Date_Recup"	"Date_publication"	"ID_flux"	"typeFlux"	"Journal"
"42826"	"Argentina News Roundup: 26th December 2013"	"The day's news from Argentina: 70 injured in Rosario fish attack; Man killed after being shot during blackout protest; Energy cuts to continue as heatwave persists"	"NULL"	"Current Affairs; News From Argentina; Round Ups Argentina; Argentina; attack; blackouts; energy; fish; heatwave; news; piranha; Rosario"	"http://www.argentinaindependent.com/currentaffairs/argentina-news-roundup-26th-december-2013/"	"2013-12-26 20:34:18"	"2013-12-26 20:28:06"	"85"	"General"	"argentina independent"
"28843"	"Argentina News Roundup: 23rd December 2013"	"The day's news from Argentina: a verdict was reached on the Senate bribes' case; the government announced new economic policies; a new price agreement was finalised; electricity companies will be fined."	"NULL"	"News From Argentina; News Round Ups; Round Ups Argentina; absolution; bribes; capitanich; credits; economy; Fernando de la Rua; informal labour; kiciloff; Senate; trial"	"http://www.argentinaindependent.com/currentaffairs/newsfromargentina/argentina-news-roundup-23rd-december-2013/"	"2013-12-24 01:33:00"	"2013-12-24 00:54:52"	"85"	"General"	"argentina independent"
"120532"	"Argentina News Roundup: 6th January 2014"	"The day's news from around the country: Price agreements to be extended; Cases of tuberculosis increase in Buenos Aires; Congress to work in February."	"NULL"	"Current Affairs; News From Argentina; News Round Ups; Round Ups Argentina; congress; construction materials; customs; Extraordinary sessions; people trafficking; personal assets tax; price agreements; slave labour; tuberculosis"	"http://www.argentinaindependent.com/currentaffairs/argentina-news-roundup-6th-january-2013/"	"2014-01-08 23:45:13"	"2014-01-06 23:28:10"	"85"	"General"	"argentina independent"
"307927"	"Argentina News Roundup: 3rd February 2014"	"Today's news from Argentina: Government meets with grain exporters; new bill against police strikes in Córdoba; slave labour found in north-eastern provinces."	"Chief of Cabinet Jorge Capitanich (Photo: Daniel Dabove/Télam/lz) Government Meets with Grain Exporters: After Friday’s verbal confrontation between Chief of Cabinet Jorge Capitanich and representatives from large agricultural companies over grain exports, the two parties met today to find a breakthrough. Upon exiting the meeting, Capitanich tweeted that: “We have finalised the meeting with the main grain exporting businesses, where we could observe they have interpreted that the exchange rate is stable, interest rates accompany this decision and the future price of soy will be US$40 lower in the near future. This means there are objective conditions for the immediate sale of the accumulated harvest and that perspectives for future harvests are auspicious,” suggesting that an agreement may have been reached. In his daily press conference, before the meeting, Capitanich had threatened to apply sanctions against grain companies, saying that “there’s always the sanctioning power of the state to generate the conditions to preserve the general interest of Argentines.” The Chief of Cabinet also confirmed via Twitter that they will hold another meeting before the end of the week. New Bill Against Police Strikes in Córdoba: Córdoba Governor José Manuel de la Sota announced on Saturday that he will submit a bill to the provincial congress seeking to prevent “insubordinate behaviour” within the police force. If passed, the bill stipulates that all police personnel who displays insubordinate behaviour, abandons their post, or presents demands “in a hostile or tumultuous way” will be dismissed, regardless of their rank. The bill also proposes the creation of a ‘Police Welfare Council’, which will “receive, analyse, and evaluate the different initiatives regarding working conditions and pay for all the police officers,” offering an alternative to police unionisation, which the governor called “unviable.” The third aspect of the bill concerns the creation of an ‘Anti-Drug Trafficking Police Force’, defined by De la Sota as “a specialised organisation which will report directly to the [province's] general prosecutor,” and which will relieve the provincial police from handling drug-related cases, after the scandal that broke last year linking high-ranking police officers to drug traffickers. The announcements, which come two months after a police protest in Córdoba sparked a nationwide debate, were made during the opening of the 2014 parliamentary sessions. Slave Labour in the North-East:  The National Registry of Agricultural Workers and Employers (Renatea) found 32 rural workers living in “extremely precarious” conditions at a yerba mate plantation property of a former Misiones governor. The government body, which reports to the Ministry of Labour, carried out a number of inspections in the north-eastern provinces of Corrientes and Misiones. In the latter, they conducted an inspection at a yerba mate plantation, ‘Estancia I Pora’, owned by former governor Ramón Puerta, where they found 32 people living “in conditions of extreme precariousness: camping tents worked as bedrooms, with mattresses on the floor. Also, they did not have sanitary or cooking facilities.” A 14-year old child was found working at the plantation. Puerta, who was interim president of the country for three days in December 2001, will be sued for people trafficking. Renatea’s inspections also found 29 unregistered workers -two of them minors- living and working in precarious conditions in two forestry establishments in the nearby province of Corrientes."	"News From Argentina; Round Ups Argentina; capitanich; Cordoba; grain exports; Misiones; police strikes; ramón puerta; slave labour; soy; yerba mate"	"http://www.argentinaindependent.com/currentaffairs/newsfromargentina/argentina-news-roundup-3rd-february-2014/"	"2014-02-03 21:31:15"	"2014-02-03 21:29:30"	"85"	"General"	"argentina independent"
"79581"	"On Now: Michael Cooper – Stone 50"	"To commemorate 50 years of The Rolling Stones, Centro Cultural Borges has inaugurated Stone 50, a superb exhibition based on photographer Michael Cooper’s work during the 60s. Delfina Krusemann talks to Cooper’s son Adam and his wife Silvia (who is also curator of the show) to find out more about the man behind the camera."	"NULL"	"Art"	"http://www.argentinaindependent.com/the-arts/art/now-michael-cooper-stone-50/"	"2014-01-02 15:45:03"	"2014-01-02 15:00:04"	"85"	"General"	"argentina independent"
"257733"	"Argentina News Roundup: 27th January 2014"	"Today's news from Argentina: new rules for Dollar Purchases; president meets Fidel Castro in Havana; more confirmed dead after Catamarca deadly storm; polar bear to be transferred to Canada."	"NULL"	"News From Argentina; Round Ups Argentina; AFIP; catamarca; CELAC; Cristina Fernández; dilma rousseff; dollars; Fidel Castro; mendoza; mudslide; polar bear; Storm"	"http://www.argentinaindependent.com/currentaffairs/newsfromargentina/argentina-news-roundup-27th-january-2014/"	"2014-01-27 22:28:57"	"2014-01-27 21:33:13"	"85"	"General"	"argentina independent"
"380100"	"Latin America News Roundup: 12th February 2014"	"Today's news from the region: Referendum on Bogotá Mayor postponed; regularisation plan for undocumented Haitians announced; human remains found in Uruguayan police station."	"Mayor of Bogotá, Gustavo Petro (Photo: Wikipedia) Colombia – Referendum on Bogotá Mayor Postponed: Colombia’s National Civil Registry announced yesterday that the recall referendum on Bogotá Mayor Gustavo Petro has been postponed due to “lack of resources.” The referendum, which will decide on the mayor’s fate after he was dismissed by Colombia’s Inspector General, was scheduled to take place on 2nd March. However, the Civil Registry informed in a statement posted on their website, that “without the resources it is not possible to move forward in purchasing the necessary goods and services” to carry it out. The Civil Registry has requested COL$38bn (US$17.8m) from the Economy Ministry, and is still awaiting for the funds to be confirmed. There has been no confirmation as to when the referendum will be held. Regularisation Plan for Undocumented Haitians: The Haitian government has announced it will launch a survey of undocumented Haitian citizens living in other countries, including neighbouring Dominican Republic. Haiti’s National Identification Office (ONI) will deploy a number of mobile units around Dominican Republic in order to identify undocumented citizens living there and help them regularise their situation. The process will be carried out by Haitian civil servants and members of the Haitian diaspora in Dominican Republic, according to ONI’s director Jean Baptiste Saint-Cyr, though he did not specify whether the Dominican government will also be involved. The survey, which will start next month, will also include Suriname and the Turks and Caicos Islands. The announcement is the result of the dialogue established by the Haitian and Dominican governments after the decision by the Dominican Constitutional Tribunal to strip Haitians of the country’s citizenship. A bill by the Committee of Solidarity with Denationalised People, which proposed to grant citizenship to all people of foreign ascent born in Dominican territory between 1929 and 2010, was introduced in the Dominican parliament. Uruguay – Human Remains Found in Police Station: Human bones thought to belong to two people disappeared during the last military dictatorship (1973-1985) were found yesterday in a police station in Montevideo. The human remains were found by workers doing excavation works in police station number 8 of the Uruguayan capital. Supreme Court spokesman, Raúl Oxandabarat, explained that “the first characteristics of the findings seem to indicate that there is the possibility that it could be a case of burial of people who were detained and disappeared.” The court will be in charge of conducting DNA tests which will be matched against a registry of disappeared prisoners. A report by anthropologist Horacio Solla found that the bones would have been buried around 30 years ago, or more, and would belong to a man and a woman."	"News From Latin America; Round Ups Latin America; Bogota; dictatorship; disappeared; dominican Republic; Gustavo Petro; Haiti; immigration; referendum; uruguay"	"http://www.argentinaindependent.com/currentaffairs/newsfromlatinamerica/latin-america-news-roundup-12th-february-2014/"	"2014-02-12 23:38:22"	"2014-02-12 23:05:45"	"85"	"General"	"argentina independent"
"575221"	"Latin America News Roundup: 12th March 2014"	"Today's news from Latin America: Chilean president Michelle Bachelet announces first policies; Paraguayan unions call for general strike; media giants face limits in Mexico."	"Bachelet with Argentine president Cristina Fernández (left) and Brazilian president Dilma Rousseff (right) at her inauguration (photo: Presidencia/Télam/ddc) Chile – President Bachelet Announces First Policies: President Michelle Bachelet, who was sworn in for a second term yesterday, announced she has submitted her first two bills to Congress. The first measure is the creation of the ‘March Bonus’, a US$40 yearly payment for low income families. “It’s not just about a payment on a month we know brings with it many expenses,” said Bachelet, “it is about the conviction that all our actions must be aimed at facing the [country's] huge inequalities.” The second bill re-establishes a similar yearly payment in the winter months, called the ‘Winter Bonus’, which had been implemented during her first term (2006-2010) and later eliminated by former president Sebastián Piñera. The policies would benefit some 1.6m families, according to government calculations. Upon taking office, Bachelet promised to deliver 50 of her campaign promises within the first 100 days of her government. Paraguay – Unions Announce General Strike: Representatives from the main Paraguayan unions have called for a strike on 26th March, the first to take place during Horacio Cartes’ presidency. Workers are demanding higher wages and the implementation of “an economic, productive, and agro-ecological model that serves the majorities” rather than the corporations. Earlier this month, the government established a 10% increase in the minimum wage, whilst unions were asking for a 25% increase. Other reasons put forward for the strike, which the unions say was necessary because “the government refuses to negotiate,” are the demand to end the public-private alliance to carry out public works, to end of the “criminalisation of social struggle”, and to obtain freedom for the “political prisoners” from the Curuguaty Massacre. The government responded by saying the strike is politically motivated, as it has been supported by the opposition Liberal Party. Mexico – Limits to Media Concentration: The Telecommunications Institute forced the country’s main media groups to allow new competitors to enter the business. The body’s resolution categorised Televisa and Grupo Carso, owned by businessman Carlos Slim, as the “main economic agents” in telecommunications and broadcasting. For this reason, it determined that they will have to share part of their infrastructure with their competitors offering a public rate. Also, Televisa will no longer have exclusive broadcasting rights for relevant content, such as football championships and the World Cup. Televisa itself announced it has been forced to “make its broadcasting infrastructure available to third parties in a non-discriminatory and non-exclusive manner.” It was also announced that two new frequencies for open air television will be put up for tender. Televisa is the largest media company in the Spanish speaking world, whilst Carlos Slim’s group is one of the leaders in the telecommunications market with companies such as América Movil, Telcel, Telmex, Embratel, Claro, and KPN Telecom, amongst others. Last December, the Federal Telecommunications Institute of Mexico left Televisa and TV Azteca out of the tender for new television channels due to their dominant position “in a highly concentrated market.” Story courtesy of Agencia Púlsar."	"News From Latin America; Round Ups Latin America; Bachelet; Carlos Slim; Chile; general strike; Horacio Cartes; Media; mexico; Paraguay; televisa"	"http://www.argentinaindependent.com/currentaffairs/newsfromlatinamerica/latin-america-news-roundup-12th-march-2014/"	"2014-03-13 00:34:37"	"2014-03-12 21:12:32"	"85"	"General"	"argentina independent"
"584485"	"Argentina News Roundup: 13th March 2014"	"Today's news from Argentina: US won't back government on debt holdouts; Pope Francis celebrates 1st anniversary; YPF talks of an Argentine energy revolution"	"US Secretary of State John Kerry said the US would not back Argentina on holdouts (photo courtesy of Wikipedia) United States won’t back Government on Holdouts: US Secretary of State, John Kerry, has rejected the possibility that the US government would side with Argentina in the dispute over the holdouts on 2001-2 debt payments. Responding a Republican congressman’s question over whether the State Department would take a stance in favour of Argentina if the court required an opinion, he said “No, we wouldn’t”, going on to say that the US would continue pressuring Argentina to pay its creditors, both the public and private ones. He made particular reference to the US$600m that Argentina owes the US State – part of the US$9bn Paris Club debt – saying: “I’ll do everything in my power to get it back, as will the State Department.” The response comes as a blow to Argentina’s government, who had speculated that the Obama administration’s official position would back Argentina, with even Foreign Minister Héctor Timmerman have publicly mooted US backing.  Pope Francis Celebrates 1st Anniversary: Today marked the one year since the Vatican nominated Cardinal Jorge Bergoglio of Buenos Aires to be the 266th pope, who took the name Pope Francis. The leader of the Catholic Church marked the day by tweeting “Pray for me”, a phrase he used when making his first appearance as pontiff, on the central balcony of St Peter’s Basilica a year ago, and one he often used as the end of discourses when in Argentina. Cabinet Chief Jorge Capitanich said that today “is a very important day for Argentina”, speaking of a “revolution of being“, and of the transformation of “spiritual leadership of Catholics and non-Catholics in the world”, highlighting that Pope Francis is the first Argentine and Latin American pope. In celebration of the anniversary, Buenos Aires metropolitan cathedral will hold a special mass today at 8pm, presided over by his successor, Cardinal Mario Poli. Head of YPF Talks of Energy Revolution: Head of YPF, Miguel Galuccio, today said that Argentina has the energy reserves to not only recuperate energy supply, but to also undergo an “energy revolution”. He said that the country must decide if it wants to be “energy independent or dependent”, highlighting the recently discovered oil reserves, and also the country’s vast gas fields. He went on to highlight that since the government expropriated the company from Spanish oil giant Repsol in April 2012, investment has risen 130% and net profit 45%. The announcement comes at a time when other countries in Latin America are beginning to invest more in renewable energy, something that has dropped dramatically in Argentina – falling from US$500m to US$90m between 2012 and 2013 – since the discovery of more oil and gas reserves over the past couple of years."	"Current Affairs; News From Argentina; Round Ups Argentina; debt; energy independence; holdouts; Paris Club; pope francis; YPF"	"http://www.argentinaindependent.com/currentaffairs/argentina-news-roundup-13th-march-2014/"	"2014-03-13 21:45:23"	"2014-03-13 21:01:22"	"85"	"General"	"argentina independent"
"265485"	"Editorial: Some Thoughts on Argentina’s Current ‘Crisis’"	"Marc Rogers analyses how international media coverage of the latest economic developments in Argentina fails to tell the whole story."	"NULL"	"Current Affairs; Opinion; TOP STORY; crisis; economics; government; journalism; Media"	"http://www.argentinaindependent.com/currentaffairs/editorial-some-thoughts-on-argentinas-current-crisis/"	"2014-01-28 19:29:17"	"2014-01-28 18:45:07"	"85"	"General"	"argentina independent"
